,layer,module_name,module_type,example_idx,example_str,act_idx,act_type,token_idx,token_str,value,grad,ie,abs_ie,node_abs_ie_x,node_abs_ie_y
14,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",2093,feature,1,When,29.134273529052734,0.000325477885780856,-0.10139987617731094,0.10139987617731094,0.10139987617731094,0.10139987617731094
15,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",4783,feature,1,When,3.148940324783325,-0.0002767117985058576,0.039683036506175995,0.039683036506175995,0.039683036506175995,0.039683036506175995
16,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",8521,feature,1,When,2.677670955657959,0.00042098539415746927,0.03815334290266037,0.03815334290266037,0.03815334290266037,0.03815334290266037
17,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",9769,feature,1,When,7.479788780212402,-0.0006673407042399049,0.09335412085056305,0.09335412085056305,0.09335412085056305,0.09335412085056305
18,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",18529,feature,1,When,14.205142974853516,-6.037810817360878e-05,0.16663528978824615,0.16663528978824615,0.16663528978824615,0.16663528978824615
19,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",9667,feature,2, John,37.89765548706055,0.00015827218885533512,0.056113991886377335,0.056113991886377335,0.056113991886377335,0.056113991886377335
20,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",8840,feature,3, and,24.808170318603516,0.0010493318550288677,-0.22034379839897156,0.22034379839897156,0.22034379839897156,0.22034379839897156
21,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",6328,feature,4, Mary,5.76126766204834,-0.0012430581264197826,-0.05981118604540825,0.05981118604540825,0.05981118604540825,0.05981118604540825
22,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",11719,feature,4, Mary,3.7396481037139893,-0.0005349930725060403,-0.04091975465416908,0.04091975465416908,0.04091975465416908,0.04091975465416908
23,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",14114,feature,4, Mary,42.1182975769043,-8.747221727389842e-05,0.4291740357875824,0.4291740357875824,0.4291740357875824,0.4291740357875824
24,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",23578,feature,4, Mary,7.578599452972412,-0.00023145585146266967,-0.07729345560073853,0.07729345560073853,0.07729345560073853,0.07729345560073853
25,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",14779,feature,6, to,21.69901466369629,-9.007734479382634e-05,-0.03615710884332657,0.03615710884332657,0.03615710884332657,0.03615710884332657
26,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",17688,feature,7, the,25.032386779785156,0.0004216566449031234,-0.12382708489894867,0.12382708489894867,0.12382708489894867,0.12382708489894867
27,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",11719,feature,8, shops,3.863147497177124,-0.000344666390446946,0.03719928488135338,0.03719928488135338,0.03719928488135338,0.03719928488135338
28,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",11912,feature,8, shops,23.085250854492188,2.932001370936632e-05,-0.050669435411691666,0.050669435411691666,0.050669435411691666,0.050669435411691666
29,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",9510,feature,9,",",15.552680969238281,-0.0003928841615561396,0.03806709870696068,0.03806709870696068,0.03806709870696068,0.03806709870696068
30,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",19742,feature,9,",",8.049493789672852,-0.0008206295315176249,0.0378759540617466,0.0378759540617466,0.0378759540617466,0.0378759540617466
31,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",23189,feature,10, John,4.776188850402832,0.0003777705132961273,0.032212644815444946,0.032212644815444946,0.032212644815444946,0.032212644815444946
32,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",46,feature,11, gave,2.989877939224243,-8.026087016332895e-05,-0.03662758320569992,0.03662758320569992,0.03662758320569992,0.03662758320569992
33,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",20199,feature,11, gave,2.9688284397125244,-0.0003161614004056901,-0.03225591033697128,0.03225591033697128,0.03225591033697128,0.03225591033697128
34,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",23422,feature,11, gave,4.257023334503174,0.0005041217082180083,-0.05207386985421181,0.05207386985421181,0.05207386985421181,0.05207386985421181
35,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",17688,feature,12, the,20.017953872680664,0.00034320168197155,-0.032266490161418915,0.032266490161418915,0.032266490161418915,0.032266490161418915
36,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",15420,feature,13, bag,2.9852566719055176,-0.0006782732089050114,0.039804209023714066,0.039804209023714066,0.039804209023714066,0.039804209023714066
37,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",15887,feature,13, bag,3.655935287475586,0.00016774868709035218,0.05858630686998367,0.05858630686998367,0.05858630686998367,0.05858630686998367
38,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",16472,feature,13, bag,40.59296417236328,-0.00041010265704244375,-0.07532794028520584,0.07532794028520584,0.07532794028520584,0.07532794028520584
39,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",22699,feature,13, bag,3.9409677982330322,-0.0003653947205748409,0.045398905873298645,0.045398905873298645,0.045398905873298645,0.045398905873298645
40,2,blocks.2.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",14779,feature,14, to,19.761354446411133,5.336495814844966e-05,-0.15413005650043488,0.15413005650043488,0.15413005650043488,0.15413005650043488
41,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",11686,feature,3, and,5.08683443069458,-5.3395211580209434e-05,-0.04918986186385155,0.04918986186385155,0.04918986186385155,0.04918986186385155
42,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",12742,feature,3, and,6.884131908416748,-0.000724637764506042,-0.10295084863901138,0.10295084863901138,0.10295084863901138,0.10295084863901138
43,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",325,feature,4, Mary,43.686668395996094,-0.0009267573477700353,0.32840433716773987,0.32840433716773987,0.32840433716773987,0.32840433716773987
44,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",1683,feature,4, Mary,2.0669209957122803,-0.0008847449207678437,-0.03363896161317825,0.03363896161317825,0.03363896161317825,0.03363896161317825
45,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",4309,feature,4, Mary,3.1369411945343018,-0.0006929644732736051,-0.06135796010494232,0.06135796010494232,0.06135796010494232,0.06135796010494232
46,3,blocks.3.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",8521,feature,4, Mary,3.0700199604034424,-1.749827788444236e-05,-0.041368767619132996,0.041368767619132996,0.041368767619132996,0.041368767619132996
